Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions (%) - IC_GEN_MGTN
Afghanistan,AFG,2017,4.26
Albania,ALB,2007,22.81
Albania,ALB,2008,24.43
Albania,ALB,2009,21.98
Albania,ALB,2010,16.25
Albania,ALB,2012,14.71
Albania,ALB,2013,29.3
Albania,ALB,2014,20.62
Albania,ALB,2015,19.28
Albania,ALB,2016,24.02
Albania,ALB,2017,22.65
Albania,ALB,2018,31.6
Albania,ALB,2019,41.34
Angola,AGO,2014,18.19
Argentina,ARG,2004,28.61
Argentina,ARG,2005,26.26
Argentina,ARG,2006,29.41
Argentina,ARG,2008,29.93
Argentina,ARG,2009,34.43
Argentina,ARG,2010,32.14
Argentina,ARG,2011,30.15
Argentina,ARG,2012,32.34
Argentina,ARG,2013,36.49
Argentina,ARG,2014,38.64
Argentina,ARG,2017,32.63
Argentina,ARG,2018,33.18
Argentina,ARG,2019,33.14
Austria,AUT,2000,28.13
Austria,AUT,2001,29.38
Austria,AUT,2002,30.78
Austria,AUT,2003,28.5
Austria,AUT,2004,22.18
Austria,AUT,2005,21.5
Austria,AUT,2006,20.96
Austria,AUT,2007,21
Austria,AUT,2008,25.19
Austria,AUT,2009,23.25
Austria,AUT,2010,25.42
Austria,AUT,2011,26.07
Austria,AUT,2012,27.13
Austria,AUT,2013,26.33
Austria,AUT,2014,27.85
Austria,AUT,2015,27.88
Austria,AUT,2016,29.52
Austria,AUT,2017,29.19
Austria,AUT,2018,28.86
Austria,AUT,2019,32.01
Bangladesh,BGD,2006,10.9
Bangladesh,BGD,2010,10.04
Bangladesh,BGD,2017,11.48
Barbados,BRB,2019,43.17
Belgium,BEL,2000,24.53
Belgium,BEL,2001,28.38
Belgium,BEL,2002,27.97
Belgium,BEL,2003,27.33
Belgium,BEL,2004,26.91
Belgium,BEL,2005,30.24
Belgium,BEL,2006,31.13
Belgium,BEL,2007,33.54
Belgium,BEL,2008,31.9
Belgium,BEL,2009,34.57
Belgium,BEL,2010,34.77
Belgium,BEL,2011,30.45
Belgium,BEL,2012,31.67
Belgium,BEL,2013,30.75
Belgium,BEL,2014,31.3
Belgium,BEL,2015,31.04
Belgium,BEL,2016,31.98
Belgium,BEL,2017,32.91
Belgium,BEL,2018,33.45
Belgium,BEL,2019,31.88
Belize,BLZ,2015,39.14
Belize,BLZ,2016,41.71
Bolivia,BOL,2011,35.66
Bolivia,BOL,2012,31.5
Bolivia,BOL,2013,30.91
Bolivia,BOL,2014,35.46
Bolivia,BOL,2015,34.45
Bolivia,BOL,2016,29.95
Bolivia,BOL,2017,26.75
Bolivia,BOL,2018,30.44
Bolivia,BOL,2019,28.08
Bosnia and Herzegovina,BIH,2006,23.73
Bosnia and Herzegovina,BIH,2007,20.27
Bosnia and Herzegovina,BIH,2008,33.35
Bosnia and Herzegovina,BIH,2009,27.67
Bosnia and Herzegovina,BIH,2011,22.6
Bosnia and Herzegovina,BIH,2012,23.03
Bosnia and Herzegovina,BIH,2013,21.42
Bosnia and Herzegovina,BIH,2014,24.16
Bosnia and Herzegovina,BIH,2015,24.18
Bosnia and Herzegovina,BIH,2016,18.78
Bosnia and Herzegovina,BIH,2017,18.83
Bosnia and Herzegovina,BIH,2018,26.12
Bosnia and Herzegovina,BIH,2019,25.43
Botswana,BWA,2009,29.55
Botswana,BWA,2019,54.17
Brazil,BRA,2002,35.02
Brazil,BRA,2003,34.22
Brazil,BRA,2004,35.67
Brazil,BRA,2005,38.07
Brazil,BRA,2006,36.3
Brazil,BRA,2007,37.68
Brazil,BRA,2008,35.83
Brazil,BRA,2009,35.22
Brazil,BRA,2011,36.58
Brazil,BRA,2012,36.45
Brazil,BRA,2013,36.96
Brazil,BRA,2014,37.37
Brazil,BRA,2015,37.97
Brazil,BRA,2016,38.23
Brazil,BRA,2017,38.37
Brazil,BRA,2018,38.72
Brazil,BRA,2019,38.61
Brunei,BRN,2014,32.51
Brunei,BRN,2017,36.97
Brunei,BRN,2018,34.55
Brunei,BRN,2019,32.26
Bulgaria,BGR,2000,37.46
Bulgaria,BGR,2001,40.52
Bulgaria,BGR,2002,42.31
Bulgaria,BGR,2003,37.8
Bulgaria,BGR,2004,41.43
Bulgaria,BGR,2005,40.61
Bulgaria,BGR,2006,37.56
Bulgaria,BGR,2007,36.41
Bulgaria,BGR,2008,36.51
Bulgaria,BGR,2009,35.79
